City,Weather,Humidity,Temperature
Mont Saint-Michel,Clear,87.0,2.396
Saint-Malo,Clouds,85.4,3.996
Bayeux,Clear,84.6,2.016
Le Havre,Clear,76.2,4.3180000000000005
Rouen,Clear,82.8,1.982
Paris,Clear,68.0,3.8579999999999997
Amiens,Clear,76.2,1.8540000000000003
Lille,Clear,71.0,2.5919999999999996
Strasbourg,Clear,72.6,2.5679999999999996
Château du Haut-Kœnigsbourg,Clear,80.0,-0.76
Colmar,Clouds,78.8,2.104
Eguisheim,Clouds,78.8,2.0
Besançon,Clear,88.0,2.1920000000000006
Dijon,Clear,85.6,1.966
Annecy,Clouds,88.0,3.8560000000000003
Grenoble,Clouds,92.4,4.6579999999999995
Lyon,Clouds,78.0,4.322
Gorges du Verdon,Rain,81.6,4.504
Bormes-les-Mimosas,Rain,85.0,9.458
Cassis,Rain,83.0,9.986
Marseille,Rain,82.8,10.708
Aix-en-Provence,Rain,84.8,9.4
Avignon,Clouds,74.6,7.006
Uzès,Clouds,76.8,5.9239999999999995
Nîmes,Clouds,76.6,6.85
Aigues-Mortes,Rain,82.4,7.49
Saintes-Maries-de-la-Mer,Rain,79.2,7.6739999999999995
Collioure,Clouds,62.6,8.956
Carcassonne,Clouds,69.0,6.812
Ariège,Clouds,87.0,0.31799999999999995
Toulouse,Clouds,73.0,5.822
Montauban,Clouds,75.2,5.352
Biarritz,Clouds,80.6,8.742
Bayonne,Clouds,82.2,8.234
La Rochelle,Clear,78.8,5.279999999999999
