hotel_name,url_hotel,score,text_description,address,City,hotel latitude,hotel longitude
La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCjtT9vAbAAgHSAiRkNmU4MzQ5ZC04MGY2LTQwMTItODIzNS03MzJkZGIwMGYzNmbYAgXgAgE&sid=8da965910278cb0521697c747cfd2bee&dist=0&group_adults=2&group_children=0&hapos=2&hpos=2&keep_landing=1&nflt=ht_id%3D204&no_rooms=1&req_adults=2&req_children=0&sb_price_type=total&sr_order=popularity&srepoch=1738500623&srpvid=af305a47e6d10281&type=total&ucfs=1&,7.4,"Installé dans un bâtiment historique, cet hôtel est idéalement situé au cœur du Mont Saint-Michel. Les chambres de style classique donnent sur la baie, l'abbaye ou la cité médiévale.

Toutes les chambres de La Mère Poulard sont équipées d'une télévision à écran plat et d'une connexion Wi-Fi gratuite. Leur salle de bains privative est pourvue d'une baignoire.

Lors de votre séjour, vous pourrez savourer les recettes de La Mère Poulard, dont l'omelette mondialement connue, dans le prestigieux restaurant. Vous aurez l’occasion de déguster un verre au piano-bar, en profitant de la vue sur la Baie du Mont Saint Michel.

Les activités dans les environs incluent la randonnée à pied et à vélo ainsi que les visites du Mont Saint-Michel. Avranches se trouve à 23 minutes en voiture. L’établissement La Mère Poulard se situe à 45 minutes de Saint-Malo.","Grande Rue, 50170 Le Mont-Saint-Michel, France",Mont+Saint+Michel,48.63508531723403,-1.5105396509170532
Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCjtT9vAbAAgHSAiRkNmU4MzQ5ZC04MGY2LTQwMTItODIzNS03MzJkZGIwMGYzNmbYAgXgAgE&sid=d7922601bf2732ba41d036b89fe169a7&dist=0&group_adults=2&group_children=0&hapos=5&hpos=5&keep_landing=1&nflt=ht_id%3D204&no_rooms=1&req_adults=2&req_children=0&sb_price_type=total&sr_order=popularity&srepoch=1738500623&srpvid=af305a47e6d10281&type=total&ucfs=1&,8.2,"Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de nombreuses places de parking gratuites.

Les chambres du Mercure Mont Saint Michel sont dotées de la climatisation, d'un plateau/bouilloire et d'une télévision par satellite/câble à écran plat.

Le restaurant Le Pré Salé, célèbre dans la région, prépare de délicieux fruits de mer ainsi que des spécialités régionales. Le bar Le Normandy sert des boissons dans un cadre convivial et décontracté.

Le Mercure Mont Saint Michel vous accueille à 6,5 km de Pontorson et à 52 km de Saint-Malo.","La Caserne, 50170 Le Mont-Saint-Michel, France",Mont+Saint+Michel,48.61424652959294,-1.510545015335083
Le Saint Aubert,https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCjtT9vAbAAgHSAiRkNmU4MzQ5ZC04MGY2LTQwMTItODIzNS03MzJkZGIwMGYzNmbYAgXgAgE&sid=60ddbc066c1667987d1d501583ddb1a2&dist=0&group_adults=2&group_children=0&hapos=7&hpos=7&keep_landing=1&nflt=ht_id%3D204&no_rooms=1&req_adults=2&req_children=0&sb_price_type=total&sr_order=popularity&srepoch=1738500623&srpvid=af305a47e6d10281&type=total&ucfs=1&,7.7,"Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial.

Cet établissement vous propose des chambres paisibles et confortables entourées de jardins fleuris.

Après une journée de découverte du Mont-Saint-Michel, vous pourrez déguster une délicieuse cuisine régionale dans le cadre pittoresque d'une ancienne ferme.

Le personnel serviable sera heureux de vous recommander un grand nombre de sites d'intérêt et les visites à faire dans la région.","La Caserne, 50170 Le Mont-Saint-Michel, France",Mont+Saint+Michel,48.612937834706464,-1.5101051330566406
Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCjtT9vAbAAgHSAiRkNmU4MzQ5ZC04MGY2LTQwMTItODIzNS03MzJkZGIwMGYzNmbYAgXgAgE&sid=0dfc0afe5ed6a64ff270b67c55bcb76d&dist=0&group_adults=2&group_children=0&hapos=6&hpos=6&keep_landing=1&nflt=ht_id%3D204&no_rooms=1&req_adults=2&req_children=0&sb_price_type=total&sr_order=popularity&srepoch=1738500623&srpvid=af305a47e6d10281&type=total&ucfs=1&,8.2,"Hotel Gabriel is located 1.6 Km from Mont Saint-Michel. It offers free Wi-Fi access and en suite rooms just a 25-minute walk from the walls of the old city.

Accessed by stairs, the hotel's spacious rooms include satellite TV. Each room has its own bathroom with a shower.

A buffet breakfast is available every morning.

Hotel Gabriel is a 6-minute drive from the E401 motorway. Pontorson TGV Train Station has connections to Paris and is 7.3 km away.

La Salicorne offers you authentic, vegetable, colorful, festive and eco responsible world cuisine. Le Pré Salé offers you Pré Salé lamb and semi gastronomic french cuisine.","Route du Mont Saint Michel, 50170 Le Mont-Saint-Michel, France",Mont+Saint+Michel,48.61538141368341,-1.510709971189499
Hôtel la Croix Blanche,https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCjtT9vAbAAgHSAiRkNmU4MzQ5ZC04MGY2LTQwMTItODIzNS03MzJkZGIwMGYzNmbYAgXgAgE&sid=78cca5af6a083093609287b0a173f0e3&dist=0&group_adults=2&group_children=0&hapos=12&hpos=12&keep_landing=1&nflt=ht_id%3D204&no_rooms=1&req_adults=2&req_children=0&sb_price_type=total&sr_order=popularity&srepoch=1738500623&srpvid=af305a47e6d10281&type=total&ucfs=1&,7.8,"Situé au cœur du village médiéval du Mont-Saint-Michel, l'Hôtel La Croix Blanche se fera un plaisir de vous accueillir.

Les chambres de l'Hôtel La Croix Blanche disposent d'une télévision par satellite à écran plat et d'un minibar. Gratuit Une connexion Wi-Fi est disponible gratuitement.

En plus de la visite du Mont-Saint-Michel et de son abbaye, vous pourrez vous rendre à Saint-Malo, à 50 km de l'hôtel.","grande rue, 50170 Le Mont-Saint-Michel, France",Mont+Saint+Michel,48.635734064271254,-1.5098610520362854
Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCjtT9vAbAAgHSAiRkNmU4MzQ5ZC04MGY2LTQwMTItODIzNS03MzJkZGIwMGYzNmbYAgXgAgE&sid=7aaaefc600f572f610eda98db31d8d99&dist=0&group_adults=2&group_children=0&hapos=3&hpos=3&keep_landing=1&nflt=ht_id%3D204&no_rooms=1&req_adults=2&req_children=0&sb_price_type=total&sr_order=popularity&srepoch=1738500623&srpvid=af305a47e6d10281&type=total&ucfs=1&,8.2,"Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. Les chambres de cet hôtel (à l'exception de la chambre lits jumeaux Saint-Michel avec vue intérieure) possèdent toutes une terrasse privée et certaines vous offrent une vue panoramique sur le Mont-Saint-Michel.

Insonorisées, confortables et spacieuses, les chambres sont dotées d'équipements modernes, dont un minibar et une connexion Wi-Fi gratuite. Leurs salles de bains sont privatives.

Le restaurant de l'hôtel vous servira une cuisine traditionnelle. Lors de votre séjour, vous pourrez prendre un verre ou un repas sur la terrasse qui offre une vue sur le Mont-Saint-Michel.

Un service de navette gratuit s'arrête en face de l'établissement et relie le célèbre Mont-Saint-Michel en seulement 10 minutes. Des gilets de sécurité vous seront proposés si vous souhaitez faire une promenade la nuit. Par ailleurs, si vous arrivez en voiture, vous pourrez profiter d'un espace de stationnement surveillé moyennant des frais supplémentaires.","La Caserne, 50170 Le Mont-Saint-Michel, France",Mont+Saint+Michel,48.6175872716489,-1.51039615273476
Les Terrasses Poulard,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCjtT9vAbAAgHSAiRkNmU4MzQ5ZC04MGY2LTQwMTItODIzNS03MzJkZGIwMGYzNmbYAgXgAgE&sid=a5406563b38a5282b6a8a2bba065645c&dist=0&group_adults=2&group_children=0&hapos=4&hpos=4&keep_landing=1&nflt=ht_id%3D204&no_rooms=1&req_adults=2&req_children=0&sb_price_type=total&sr_order=popularity&srepoch=1738500623&srpvid=af305a47e6d10281&type=total&ucfs=1&,7.2,"Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l’établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue.

Décorées dans un style moderne, les chambres sont accessibles par des escaliers. Certaines présentent de grandes fenêtres donnant sur la baie. Toutes sont dotées d’une télévision et d’une salle de bains privative.

Le petit-déjeuner est servi au restaurant La Confiance, à 2 minutes à pied. Spécialisé dans la cuisine française et régionale, il est également ouvert pour le déjeuner et le dîner. Vous pourrez également prendre vos repas, boissons et collations au restaurant La Confiance, sur place.

L’établissement Les Terrasses Poulard comporte un bar. La réception est ouverte 24h/24 et vous pourrez laisser vos bagages à la réception.

La région constitue un cadre idéal pour diverses activités telles que la pêche, le vélo et la randonnée à pied.","Grande Rue, 50170 Le Mont-Saint-Michel, France",Mont+Saint+Michel,48.63534942564122,-1.5103787183761597
Hôtel Vert,https://www.booking.com/hotel/fr/vert.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCjtT9vAbAAgHSAiRkNmU4MzQ5ZC04MGY2LTQwMTItODIzNS03MzJkZGIwMGYzNmbYAgXgAgE&sid=9dd3053ffcdb34667030d7210e052be5&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&keep_landing=1&nflt=ht_id%3D204&no_rooms=1&req_adults=2&req_children=0&sb_price_type=total&sr_order=popularity&srepoch=1738500623&srpvid=af305a47e6d10281&type=total&ucfs=1&,8.0,"L’Hotel Vert vous propose des chambres décorées dans des tons pastel, dotées d’une salle de bains privative, d’une télévision ainsi que d’une connexion Wi-Fi gratuite. Il vous accueille à 2 km de l’île intertidale du Mont Saint-Michel, sur la côte normande.

Lors de votre séjour, vous pourrez déguster une cuisine régionale au restaurant du Vert, La salicorne. Vous pourrez également apprécier le bar de l'hôtel, L'Equinoxe, qui s'ouvre sur une terrasse privée.

Le Vert Hotel met également à votre disposition une réception ouverte 24h/24 ainsi qu’un parking privé. Vous bénéficierez aussi d’un supermarché et d’une boutique de souvenirs sur place.","La Caserne, 50170 Le Mont-Saint-Michel, France",Mont+Saint+Michel,48.61470048629041,-1.5096169710159302
Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCjtT9vAbAAgHSAiRkNmU4MzQ5ZC04MGY2LTQwMTItODIzNS03MzJkZGIwMGYzNmbYAgXgAgE&sid=b11c31cd3c57f05d090c27a3a384cca3&dist=0&group_adults=2&group_children=0&hapos=11&hpos=11&keep_landing=1&nflt=ht_id%3D204&no_rooms=1&req_adults=2&req_children=0&sb_price_type=total&sr_order=popularity&srepoch=1738500623&srpvid=af305a47e6d10281&type=total&ucfs=1&,8.3,"Située sur le Mont-Saint-Michel, l'Auberge Saint Pierre est composée de petits bâtiments à colombages datant du XIVe siècle. Elle allie le charme d’époque des poutres apparentes à des éléments de confort moderne, comme une télévision et une connexion Wi-Fi gratuite.

Idéalement situé pour visiter le Mont-Saint-Michel, cet hôtel se trouve dans la rue principale menant à l'abbaye du Mont-Saint-Michel.

Les 2 annexes de l'hôtel se trouvent au milieu du village et sont accessibles par de nombreux escaliers.

Les chambres de l'Auberge Saint Pierre et les annexes disposent d'une salle de bains privative avec baignoire ou douche. Certaines chambres offrent une vue sur la mer.

L'hôtel sert un petit-déjeuner buffet tous les matins. Le restaurant authentique sert une cuisine traditionnelle normande et des plats à base de poisson. Vous pourrez choisir de dîner sur place.","Grande Rue, 50170 Le Mont-Saint-Michel, France",Mont+Saint+Michel,48.63568797869143,-1.5098825097084045
La Vieille Auberge,https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCjtT9vAbAAgHSAiRkNmU4MzQ5ZC04MGY2LTQwMTItODIzNS03MzJkZGIwMGYzNmbYAgXgAgE&sid=7552c5cd504453487d00fd2c60c0bd8a&dist=0&group_adults=2&group_children=0&hapos=10&hpos=10&keep_landing=1&nflt=ht_id%3D204&no_rooms=1&req_adults=2&req_children=0&sb_price_type=total&sr_order=popularity&srepoch=1738500623&srpvid=af305a47e6d10281&type=total&ucfs=1&,7.5,"La Vieille Auberge vous accueille dans le village médiéval du Mont-Saint-Michel, à quelques pas de la célèbre abbaye du Mont-Saint-Michel. L’établissement propose une connexion Wi-Fi gratuite, un restaurant et une terrasse avec vue sur la baie du Mont-Saint-Michel.

Les chambres sont aménagées dans 2 bâtiments annexes et accessibles par de multiples escaliers. Un bâtiment comprend des chambres standard donnant sur la rue principale et l’autre bâtiment, situé en haut du village, abrite des chambres avec vue sur la mer. Tous les logements disposent d’une télévision à écran plat et d’une salle de bains privative avec une baignoire ou une douche.

L’hôtel comporte un bar et un restaurant servant une cuisine française traditionnelle.

Vous séjournerez à 24 km d’Avranches et à 49 km de Cancale. La ville de Dol-de-Bretagne se trouve à 30 km.","Grande Rue, 50170 Le Mont-Saint-Michel, France",Mont+Saint+Michel,48.636063,-1.511457
